ID,game_ID,player_ID,positionPlayed_code,outsPlayed,involvedInPlays,completedPlays,errors,passedBalls,stolenBasesAllowed,caughtStealing,notes
"cd4fff58-d75f-471a-97e3-aae3ad7763ee","34c71b52-6421-4b9a-8ebe-7ba43db85c2a","604162f0-41a5-41d4-bb78-a9b0a2c1bc19",3,11,0,0,0,0,0,0,""
"35b10c0d-a8d3-4ced-8f80-df7f140093d8","4ac602d8-2086-4ad2-be16-326eba2757d6","7e6bfd1a-164f-4266-ad06-4f68294aaede",2,0,0,0,0,0,7,0,""
"01f1402a-8653-49a3-ba33-28a6b1730942","4ac602d8-2086-4ad2-be16-326eba2757d6","d2a0ab6a-ecff-4d62-bfd2-c684e568a035",2,0,0,0,0,0,0,0,""
"2d9cf1d5-94f5-4a12-95d9-f337349021e2","4ac602d8-2086-4ad2-be16-326eba2757d6","dabe745e-5cf0-4738-915e-3ac125dec269",1,4,0,0,0,0,0,0,""
"5bbc5f41-1672-46f5-8d59-dcdc0d3a29b4","4ac602d8-2086-4ad2-be16-326eba2757d6","55f12045-d7fc-4a0f-824b-95e8b8ddc0b7",6,15,3,2,0,0,0,0,""
"a5f96670-b8ba-4b7c-ac27-a844fbb27d5a","4ac602d8-2086-4ad2-be16-326eba2757d6","c3d7614c-0a42-415c-8055-f1f46f1577ad",8,15,4,2,2,0,0,0,""
"8a76547f-e144-4c98-b1fe-4b14ecff9452","4ac602d8-2086-4ad2-be16-326eba2757d6","88d4a086-36ee-4724-80c6-1d89d576e875",3,6,0,0,0,0,0,0,""
"729fe6cf-4f16-4148-8a1f-2487c1485297","4ac602d8-2086-4ad2-be16-326eba2757d6","88d4a086-36ee-4724-80c6-1d89d576e875",1,9,0,0,0,0,0,0,""
"d1bed76d-f2f2-4f63-a0bb-d6c953da5aa7","4ac602d8-2086-4ad2-be16-326eba2757d6","60449151-ce4f-42f4-a0da-6e3ce3fc8253",5,15,0,0,0,0,0,0,""
"3db3c70b-245a-4bb6-b764-7ba2de56cc24","4ac602d8-2086-4ad2-be16-326eba2757d6","b6466032-b94f-42ef-a35b-6bfc334dc1d5",4,15,3,3,0,0,0,0,""
